business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Bhatlem, Altino Road, Near Sati Bhavani Temple Behind, Electricity Colony, Panaji, Goa 403001, India",Parmarth Niketan Goa Bhatlem,-1,ChIJIS4pUCvBvzsRtjvK6pRr-rc,"{'compound_code': 'FRPH+3G Panaji, Goa', 'global_code': '7J7MFRPH+3G'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,TRUE,hindu_temple,-1,-1,15.4852402,73.8287559
CLOSED_TEMPORARILY,"Bazarwada, Marcel, Orgao, Goa 403107, India",Vitthal Mandir Bazarwada,-1,ChIJscLHNMu9vzsRb2LQUfC9ZLY,"{'compound_code': 'GX74+P4 Marcel, Orgao, Goa', 'global_code': '7J7MGX74+P4'}",4.4,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",5,TRUE,hindu_temple,-1,-1,15.514311,73.9553553
CLOSED_TEMPORARILY,"Patto, Patto Centre, Panaji, Goa 403001, India",Sai Baba Mandir,-1,ChIJ5eh3PmvBvzsR3fBGnYM1he4,"{'compound_code': 'FRWP+R9 Patto Centre, Panaji, Goa', 'global_code': '7J7MFRWP+R9'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,TRUE,hindu_temple,-1,-1,15.4970274,73.8359592
CLOSED_TEMPORARILY,"MDR22, Narve, Maem, Goa 403403, India",Paramartha Niketan Narve,-1,ChIJPfMEob-_vzsRQ3ai7XGWKuo,"{'compound_code': 'HW3F+27 Narve, Maem, Goa', 'global_code': '7J7MHW3F+27'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,TRUE,hindu_temple,-1,-1,15.5525065,73.9232488
CLOSED_TEMPORARILY,"Chorao, Goa 403523, India",Gopalkrishna Temple,-1,ChIJecUJTYCVvzsR-Km-Ut8Vn6c,"{'compound_code': 'HV5R+2C Chorao, Goa', 'global_code': '7J7MHV5R+2C'}",4.4,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",5,TRUE,hindu_temple,-1,-1,15.5576211,73.8910315
CLOSED_TEMPORARILY,"Kapileswari - Kavlem Rd, Donshiwado, Ponda, Goa 403401, India","Shree Shantadurga Mandir, Kavlem",-1,ChIJrYu521bAvzsRMZ5n0rjkYnA,"{'compound_code': '9XWP+F6 Donshiwado, Bandoda, Goa', 'global_code': '7J7M9XWP+F6'}",4.6,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",4299,TRUE,hindu_temple,-1,-1,15.3961303,73.9855837
CLOSED_TEMPORARILY,"Khadapwada, Cumbarjua, Goa 403107, India",Ganapati Temple Cumbharjua,-1,ChIJW9b7n9K9vzsRNm8gkBILjSM,"{'compound_code': 'GW8X+33 Cumbarjua, Goa', 'global_code': '7J7MGW8X+33'}",4.7,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",26,TRUE,hindu_temple,-1,-1,15.5151403,73.9477059
CLOSED_TEMPORARILY,"Caraim, Goa 403523, India",Wadeshwar Temple,-1,ChIJJSyBDyq-vzsRt452bIOpREc,"{'compound_code': 'HV3V+VJ Caraim, Goa', 'global_code': '7J7MHV3V+VJ'}",4.8,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",4,TRUE,hindu_temple,-1,-1,15.5546295,73.8940925
CLOSED_TEMPORARILY,"Amboi Waddo-Diwar, near Devaaya Hotel, Sao Matias VP, Goa 403403, India",Dattatraya Temple,-1,ChIJMwnIMT--vzsRwNCBQ_5tMxU,"{'compound_code': 'GWP4+5R Sao Matias VP, Goa', 'global_code': '7J7MGWP4+5R'}",4.1,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",7,TRUE,hindu_temple,-1,-1,15.535461,73.9070949
OPERATIONAL,"Esmeralda Greens, Ella, Goa 403110, India","Kinara Classic,Deluxe AC and Non Ac rooms",{'open_now': True},ChIJQaSScuu-vzsRyCu573lvUbE,"{'compound_code': 'FWV6+23 Ella, Goa', 'global_code': '7J7MFWV6+23'}",4.1,"['lodging', 'point_of_interest', 'establishment']",41,-1,lodging,-1,-1,15.4925728,73.9101748
