business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Village Tapovan Ghughtani Talli NH -58 Badrinath, Haridwar Rd, Rishikesh, Uttarakhand 249201, India",Camping in Rishikesh,TRUE,ChIJM49O4DMRCTkRIChGnj9ObJs,"{'compound_code': '48MG+56 Rishikesh, Uttarakhand', 'global_code': '8J2W48MG+56'}",4.5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",84,-1,campground,-1,-1,30.132971,78.325596
OPERATIONAL,"H 86 Nagla Kali Kehrai Mod, Agra Shamshabad Raja Kherah Marg, Agra, Uttar Pradesh 282001, India",TAJ INDIA TRIP,-1,ChIJVVVVVWl3dDkRRstLbvs2l4Y,"{'compound_code': '42HJ+24 Agra, Uttar Pradesh', 'global_code': '7JVW42HJ+24'}",5,"['travel_agency', 'point_of_interest', 'establishment']",1,{'open_now': True},campground,-1,-1,27.1275228,78.0303026
CLOSED_TEMPORARILY,"8, Ajmer Road, Pratap Pura, Agra, Uttar Pradesh 282001, India","St. Mary’s Church, Agra",TRUE,ChIJdZBUJNF2dDkRgIA99ht5OJE,"{'compound_code': '5286+RH Agra, Uttar Pradesh', 'global_code': '7JVW5286+RH'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",58,-1,church,-1,-1,27.1670609,78.0113807
CLOSED_TEMPORARILY,"Wazirpura Rd, Kamla Nagar, Civil Lines, Agra, Uttar Pradesh 282002, India",Akbar Church,TRUE,ChIJy_xpL0h3dDkRkeGxddB0FdE,"{'compound_code': '52W6+W5 Civil Lines, Agra, Uttar Pradesh', 'global_code': '7JVW52W6+W5'}",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",55,-1,church,-1,-1,27.1973432,78.0103973
CLOSED_TEMPORARILY,"4/116 B Church Road, Civil Lines, Agra, Uttar Pradesh 282002, India",C.N.I. Diocese of Agra,TRUE,ChIJnxQCUEJ3dDkRs3a6dz_OpfA,"{'compound_code': '6232+82 Agra, Uttar Pradesh', 'global_code': '7JVW6232+82'}",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",44,-1,church,-1,-1,27.2033388,78.0000772
CLOSED_TEMPORARILY,"Church Rd, Surya Nagar, Civil Lines, Agra, Uttar Pradesh 282002, India","St. Paul's Church College, Agra",TRUE,ChIJ945fNEJ3dDkRwT7_sGnHyD0,"{'compound_code': '6X2X+XM Civil Lines, Agra, Uttar Pradesh', 'global_code': '7JVV6X2X+XM'}",4.2,"['church', 'place_of_worship', 'school', 'point_of_interest', 'establishment']",25,-1,church,-1,-1,27.2024928,77.999191
CLOSED_TEMPORARILY,"Mahatma Gandhi Rd, Kalaktri Crossing, Panchkuian, Rakabganj, Agra, Uttar Pradesh 282004, India",Central Methodist Church,TRUE,ChIJXeldNiZ3dDkRsJj50mtBInE,"{'compound_code': '52G4+MR Rakabganj, Agra, Uttar Pradesh', 'global_code': '7JVW52G4+MR'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",33,-1,church,-1,-1,27.1766901,78.0071209
CLOSED_TEMPORARILY,"Hospital Rd, Church Rd, Gur Ki Mandi, Rawatpara, Bodhi Ka Nagala, Mantola, Agra, Uttar Pradesh 282003, India",St. John's Church,TRUE,ChIJX48aqTF3dDkRln5Y8dTNtWY,"{'compound_code': '52Q6+5H Mantola, Agra, Uttar Pradesh', 'global_code': '7JVW52Q6+5H'}",4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",33,-1,church,-1,-1,27.1879838,78.0114249
CLOSED_TEMPORARILY,"Nehru Enclave, Rajelwar Mandir, Indrapuram, Kaveri Vihar Phase II, Shamsabad, Agra, Uttar Pradesh 282001, India",Faith Church,TRUE,ChIJKZ-8vmlxdDkRUMz3MDy6lCw,"{'compound_code': '42WV+GQ Shamsabad, Agra, Uttar Pradesh', 'global_code': '7JVW42WV+GQ'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",36,-1,church,-1,-1,27.1463444,78.044455
OPERATIONAL,"26, Laxman Nagar Park Rd, Dashrath Kunj - B, Jodha Bai ka Rauza, Arjun Nagar, Agra, Uttar Pradesh 282001, India",विक्ट्री चर्चेस ऑफ़ इंडिया,-1,ChIJm4_e_vx2dDkRT_ylX7k5nic,"{'compound_code': '5X9M+73 Arjun Nagar, Agra, Uttar Pradesh', 'global_code': '7JVV5X9M+73'}",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",19,{'open_now': False},church,-1,-1,27.168172,77.982631
