business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,lat,long
CLOSED_TEMPORARILY,"105, Sudha Narayan Apt Shindenagar, Opp Maratha Mandir, Bavdhan, Pune, Maharashtra 411021, India",Nisargshala Camping booking,TRUE,ChIJRVACQb6_wjsRH2pGotVXDic,"{'compound_code': 'GQ7M+38 Bavdhan, Pune, Maharashtra', 'global_code': '7JCMGQ7M+38'}",4.4,"['campground', 'local_government_office', 'lodging', 'park', 'point_of_interest', 'establishment']",30,-1,campground,-1,18.5126849,73.7832865
CLOSED_TEMPORARILY,"Tikonapeth, Near, Pawana lake, Tikona, Maharashtra 410406, India",Rusticville Farmstay And Camping,TRUE,ChIJAzz2hICowjsR5pFEHid_XFQ,"{'compound_code': 'JGR7+F5 Tikona Peth, Maharashtra', 'global_code': '7JCMJGR7+F5'}",4.2,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",256,-1,campground,-1,18.6411829,73.5129329
CLOSED_TEMPORARILY,"khadak gevande thakursai, below dellas bunglow, Pune, Maharashtra 410406, India",Pawna Lake Camping Thrillophilia | Pawna Lake Camping Near Mumbai | Camping at Pawna in Pune,TRUE,ChIJu_glSAanwjsROdql7CihsiA,"{'compound_code': 'JFJW+5H Gevhande Khadak, Maharashtra', 'global_code': '7JCMJFJW+5H'}",4.9,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",590,-1,campground,-1,18.630481,73.4964287
CLOSED_TEMPORARILY,"Thakursai,post-pavananagar,Tal-maval, Lonavla, Maharashtra 410406, India",Pawana Lake camping,TRUE,ChIJ17r4Oe2pwjsRpG8TZelX7lI,"{'compound_code': 'MF3W+CG Lonavla, Maharashtra', 'global_code': '7JCMMF3W+CG'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",47,-1,campground,-1,18.653619,73.4963
OPERATIONAL,"At Post - Kashig,Taluka Mulashi, Paud, Lonavala Rd, Hadashi, Maharashtra 412108, India",Tikona Picnic - Lakeside Agro Tourism,-1,ChIJ9ULYuk6mwjsRGPP96L_njPo,"{'compound_code': 'JG59+CH Hadashi, Maharashtra', 'global_code': '7JCMJG59+CH'}",4.4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",603,{'open_now': True},campground,-1,18.6085059,73.5189736
CLOSED_TEMPORARILY,"Jalna Road, near S.F.S School, Aurangabad, Maharashtra 431005, India",St. Thomas’ Church,TRUE,ChIJ27qWLoWi2zsRMZ9X7AOHnWY,"{'compound_code': 'V9C2+X6 Aurangabad, Maharashtra', 'global_code': '7JFQV9C2+X6'}",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",46,-1,church,-1,19.8724499,75.350568
CLOSED_TEMPORARILY,"Ayodhya Nagar, N 7, Cidco, near Sai Baba Mandir, Aurangabad, Maharashtra 431003, India",St. John The Evangelist's Church,TRUE,ChIJT8iODLmi2zsRq2LIKkZdYYA,"{'compound_code': 'V9V6+94 Aurangabad, Maharashtra', 'global_code': '7JFQV9V6+94'}",4.2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",14,-1,church,-1,19.8934609,75.360322
CLOSED_TEMPORARILY,"M-6, Near Bajrang Chowk, Shri Nagar Colony, N-6, Cidco, Aurangabad, Maharashtra 431003, India",PEACE MEMORIAL NAZARENE CHURCH CIDCO,TRUE,ChIJPekCzr2i2zsRbbmqs-JhKXA,"{'compound_code': 'V9P5+X5 Cidco, Aurangabad, Maharashtra', 'global_code': '7JFQV9P5+X5'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",15,-1,church,-1,19.887444,75.357953
CLOSED_TEMPORARILY,"N-6, Azad Chowk Road, Road, Avishkar Colony, Cidco, Aurangabad, Maharashtra 431003, India",Church Of Nazarene,TRUE,ChIJqfcnLKOi2zsRI0b42j7zSwg,"{'compound_code': 'V9Q2+6X Cidco, Aurangabad, Maharashtra', 'global_code': '7JFQV9Q2+6X'}",3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",4,-1,church,-1,19.8880069,75.352471
CLOSED_TEMPORARILY,"MH SH 16, Padegaon, Aurangabad, Maharashtra 431002, India",Orthodox Church Aurangabad,TRUE,ChIJo2DgMcuZ2zsR9eFimOxiDaM,"{'compound_code': 'V7MV+HV Padegaon, Aurangabad, Maharashtra', 'global_code': '7JFQV7MV+HV'}",4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",19,-1,church,-1,19.8839456,75.2946609
CLOSED_TEMPORARILY,"Jubilee Park, Naralibag, near GMC HOSPITAL, Aurangabad, Maharashtra 431001, India",Church Of The Nazarene,TRUE,ChIJo8w_CxaY2zsRtl6eY1e355Q,"{'compound_code': 'V8Q9+3Q Aurangabad, Maharashtra', 'global_code': '7JFQV8Q9+3Q'}",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",30,-1,church,-1,19.8876841,75.3194859
CLOSED_TEMPORARILY,"Cm-2-134, Thakre Nagar, N-2, Cidco, Cidco, Aurangabad, Maharashtra 431003, India",Indian Pentacostal Church Of God,TRUE,ChIJVVVVlfmi2zsRz_GpRX1Kmks,-1,0,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,church,-1,19.8677311,75.3776524
CLOSED_TEMPORARILY,"Jubilee Park Road, Nazarene Church (Gaikwad Vinay), Jubilee Park Road, Aurangabad, Maharashtra 431001, India",Prist Nazarene Church,TRUE,ChIJY7xpoxWY2zsRJrra3z15fsY,-1,0,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,church,-1,19.8761653,75.3433139
OPERATIONAL,"Cantonment, Mission Compund, Cantonment, Aurangabad, Maharashtra 431002, India",Christ Church Girls & Boys Hostel,-1,ChIJY7xpoxWY2zsRlVCF6z8mKYc,-1,5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,-1,church,-1,19.8761653,75.3433139
CLOSED_TEMPORARILY,"Nagar Naka, Aurangabad, Maharashtra 431002, India",Holy Trinity Church,TRUE,ChIJWxuNUEmY2zsRh5qkhVEP1GM,"{'compound_code': 'V8F2+X9 Nagar Naka, Aurangabad, Maharashtra', 'global_code': '7JFQV8F2+X9'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",22,-1,church,-1,19.8749942,75.300912
