business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,lat,long
CLOSED_TEMPORARILY,"Office No-121/19/SB, jaipuria Mall, 1st Floor, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India",Camp organisers for river rafting,-1,ChIJ77sYbvr7DDkRUN7vfx6AQ9I,"{'compound_code': 'J9RH+37 Indirapuram, Ghaziabad, Uttar Pradesh', 'global_code': '7JWVJ9RH+37'}",5,"['campground', 'travel_agency', 'lodging', 'park', 'point_of_interest', 'establishment']",6,TRUE,campground,-1,28.6401634,77.3781312
CLOSED_TEMPORARILY,"Plot, Gali Number 5, Uttam Nagar, Maharani Enclave, Hastsal, Delhi, 110059, India",Lord Jesus Mission Zomi Church Delhi,-1,ChIJreRl_x4FDTkRpC_zYlzdHCw,"{'compound_code': 'J3M3+FC Hastsal, Delhi', 'global_code': '7JWVJ3M3+FC'}",3.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",3,TRUE,church,-1,28.6336717,77.0535259
CLOSED_TEMPORARILY,"Gautam Colony, Narela, Delhi, 110040, India",Narela Church (New India Church of God),-1,ChIJadTBhG6pDTkR3J70siFu3sw,"{'compound_code': 'V33P+R7 Narela, New Delhi', 'global_code': '7JWVV33P+R7'}",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",37,TRUE,church,-1,28.8546122,77.0857228
CLOSED_TEMPORARILY,"66,Opposite Gautam Nagar, New Delhi, Delhi, India",Church of God,-1,ChIJJwuDRmniDDkRgkqUMY-QVdw,"{'compound_code': 'H667+93 New Delhi, Delhi', 'global_code': '7JWVH667+93'}",3.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",6,TRUE,church,-1,28.560921,77.212706
OPERATIONAL,"Mayur Vihar Phase III, Kondli, Delhi, 110096, India",St. James Orthodox Church,-1,ChIJlQLbUB7lDDkRqgwvq72g07s,"{'compound_code': 'J85M+6X Kondli, New Delhi', 'global_code': '7JWVJ85M+6X'}",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,-1,church,-1,28.608089,77.3349708
CLOSED_TEMPORARILY,"D-42, Janakpuri Institutional Area, Janakpuri, New Delhi, Delhi 110058, India",Mahima Church,-1,ChIJjZSuflUbDTkRgHLgXMYlYLI,"{'compound_code': 'J452+WV Janakpuri, New Delhi, Delhi', 'global_code': '7JWVJ452+WV'}",4.5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",60,TRUE,church,-1,28.609788,77.1021592
CLOSED_TEMPORARILY,"252, Satya Niketan Rd, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021, India",CAG Tamil Church,-1,ChIJy9B9BRMdDTkR-TG0BRn5FlM,"{'compound_code': 'H5Q9+5M South Moti Bagh, New Delhi, Delhi', 'global_code': '7JWVH5Q9+5M'}",4.1,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",21,TRUE,church,-1,28.58793,77.1692103
CLOSED_TEMPORARILY,"216, Pocket 7, Sector 2, Rohini, Delhi, 110085, India",CHURCH of God in India,-1,ChIJCdwC8wAEDTkR8tsDd3ZKN_Y,"{'compound_code': 'P422+69 Rohini, New Delhi, Delhi', 'global_code': '7JWVP422+69'}",4.2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",16,TRUE,church,-1,28.7005144,77.1009125
OPERATIONAL,"Sujan Sing Park North, New Delhi, India",Our lady of health vailankanni shrine,-1,ChIJn7smZ8LiDDkRxU2KDOvIAWE,"{'compound_code': 'J63G+29 New Delhi, Delhi', 'global_code': '7JWVJ63G+29'}",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",479,-1,church,-1,28.6025369,77.2258844
CLOSED_TEMPORARILY,"C128, Sainik Nagar, Mansa Ram Park, Uttam Nagar, New Delhi, Delhi 110059, India","FMPB, Delhi.",-1,ChIJaVgOkzAFDTkRKHfjWTgTOKk,"{'compound_code': 'J28R+JC Uttam Nagar, Delhi', 'global_code': '7JWVJ28R+JC'}",5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",2,TRUE,church,-1,28.6166075,77.041095
CLOSED_TEMPORARILY,"D-264, Street No. 11, Laxmi Nagar, Delhi, 110092, India",Sharon Church of Christ,-1,ChIJG4fwdq38DDkRwNqA2d0AOmk,"{'compound_code': 'J7JG+J9 Delhi', 'global_code': '7JWVJ7JG+J9'}",4.2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",12,TRUE,church,-1,28.631595,77.275941
CLOSED_TEMPORARILY,"8632, Arakashan Rd, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",St. Anthony's Catholic Church,-1,ChIJTZlTFkD9DDkRCm76O9PUs7w,"{'compound_code': 'J6W8+4G Paharganj, New Delhi, Delhi', 'global_code': '7JWVJ6W8+4G'}",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",45,TRUE,church,-1,28.6452858,77.2162875
CLOSED_TEMPORARILY,"L-16, First Floor, Mahatma Gandhi Marg, South Extension, South Delhi, Block L, South Extension II, New Delhi, Delhi 110049, India",Faith Assembly of God Church,-1,ChIJA0YpX1viDDkRLhXyV4nlMFo,"{'compound_code': 'H68F+P8 South Extension II, South Extension, New Delhi, Delhi', 'global_code': '7JWVH68F+P8'}",4.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",11,TRUE,church,-1,28.5668462,77.2232974
CLOSED_TEMPORARILY,"Kings Way Camp, Tagore Park Extension, Mukherjee Nagar, Delhi, 110009, India",Church Of Trinity,-1,ChIJWfz9zfn9DDkRt4AxnpYbve4,"{'compound_code': 'P52W+VX Mukherjee Nagar, Delhi', 'global_code': '7JWVP52W+VX'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,TRUE,church,-1,28.7022203,77.1974948
CLOSED_TEMPORARILY,"Bazar Chitli Qabar, Katra Chobey Lal, Chandni Chowk, New Delhi, Delhi 110006, India",Holy Trinity Church,-1,ChIJjd1d8iP9DDkRZyENBJTCm4g,"{'compound_code': 'J6VM+3C New Delhi, Delhi', 'global_code': '7JWVJ6VM+3C'}",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",47,TRUE,church,-1,28.6426934,77.233555
CLOSED_TEMPORARILY,"Patel Chest, Chhatra Marg, Christian Colony, North Campus, Delhi, 110007, India",Holy Christian Church,-1,ChIJFbGhpuz9DDkRbYTvGJFCj7s,"{'compound_code': 'M6V6+2H Delhi', 'global_code': '7JWVM6V6+2H'}",3.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",9,TRUE,church,-1,28.692589,77.211427
CLOSED_TEMPORARILY,"F-228, Lado Sarai Extension, Lado Sarai, New Delhi, Delhi 110030, India",Goshen Church New Delhi,-1,ChIJCw2FQgAeDTkRC76oqtX5Re8,"{'compound_code': 'G5HV+32 Lado Sarai, New Delhi, Delhi', 'global_code': '7JWVG5HV+32'}",3.6,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",19,TRUE,church,-1,28.5277456,77.1925121
CLOSED_TEMPORARILY,"C-27, 40 Feet Rd, Deep Vihar, Vikas Nagar, Hastsal, New Delhi, Delhi 110059, India",Zomi Church Delhi,-1,ChIJVfhz_x4FDTkRLR6tVCHl9tw,"{'compound_code': 'J3M3+F9 Hastsal, Delhi', 'global_code': '7JWVJ3M3+F9'}",4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,TRUE,church,-1,28.6336264,77.0534984
CLOSED_TEMPORARILY,"John L Dorsey Rd, Prasad Nagar, Mata Rameshwari Nehru Nagar, Karol Bagh, New Delhi, Delhi 110005, India",Delhi Tamil Church (English & Tamil Service),-1,ChIJB7Lk3TwDDTkRz0IOazPhsqU,"{'compound_code': 'M52H+3R New Delhi, Delhi', 'global_code': '7JWVM52H+3R'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",8,TRUE,church,-1,28.6501977,77.1795475
CLOSED_TEMPORARILY,"A block, Plot Number, 37, Gali Number 1, Harit Vihar, Burari, New Delhi, Delhi 110084, India",St. Thomas Jacobite Syrian Church,-1,ChIJK-mCDd8BDTkRz4JKJwSF4RA,"{'compound_code': 'P5QV+P6 Burari, Delhi', 'global_code': '7JWVP5QV+P6'}",3.9,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",43,TRUE,church,-1,28.7392536,77.1930027
CLOSED_TEMPORARILY,"Sadbhawana Marg, Chilla Sarda Bangar, Chilla Sarda Bangar Village, Mayur Vihar, New Delhi, Delhi 110091, India",Immanuel Church CNI Malayalam Parish,-1,ChIJX9bnwY_kDDkRN0qQOlvb-xg,"{'compound_code': 'H7WX+6Q Mayur Vihar, New Delhi, Delhi', 'global_code': '7JWVH7WX+6Q'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",23,TRUE,church,-1,28.5955984,77.2994587
OPERATIONAL,"DB Gupta Road, Block E, Jhandewalan Extension, Paharganj, New Delhi, Delhi 110055, India",Jhandewala Devi Mandir l Tample,{'open_now': True},ChIJbVOVQ2b9DDkR8Nj6J7pA-6k,"{'compound_code': 'J6X3+MM Paharganj, New Delhi, Delhi', 'global_code': '7JWVJ6X3+MM'}",4.8,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",19852,-1,hindu_temple,-1,28.649149,77.2041589
CLOSED_TEMPORARILY,"NH 24, Noida More, New Delhi, Delhi 110092, India",BAPS Shree Swaminarayan Mandir,-1,ChIJi6R5O1vjDDkR8VXg918Z68k,"{'compound_code': 'J77G+FC New Delhi, Delhi', 'global_code': '7JWVJ77G+FC'}",4.7,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",192,TRUE,hindu_temple,-1,28.613729,77.276038
CLOSED_TEMPORARILY,"WZ - 1413, Multani Mohalla, Rani Bagh, Pitampura, Delhi, 110034, India",Hanuman Mandir Multani Mohalla,-1,ChIJ6_qLBscDDTkRjnxaz1XAyU4,"{'compound_code': 'M4PM+JG Pitampura, New Delhi, Delhi', 'global_code': '7JWVM4PM+JG'}",4.3,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",15,TRUE,hindu_temple,-1,28.6865056,77.1338454
CLOSED_TEMPORARILY,"3, AB Rd, Block RR, Mianwali Nagar, Paschim Vihar, New Delhi, Delhi 110087, India",Mianwali Nagar Mandir,-1,ChIJjQGn2GwEDTkRgCghjduxvr8,"{'compound_code': 'M3HQ+F6 Paschim Vihar, New Delhi, Delhi', 'global_code': '7JWVM3HQ+F6'}",4.3,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",35,TRUE,hindu_temple,-1,28.6787319,77.0880926
